Date/Time (LST),Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr)
01-01-2023 01:00,1,1,01:00,3,3,100,26,10,0.4,99.16,,,Fog,6.548
01-01-2023 02:00,1,1,02:00,3,3,100,30,21,6.4,99.22,,,Fog,5.806
01-01-2023 03:00,1,1,03:00,2.6,2.6,100,28,24,8.1,99.27,,,Fog,6.827
01-01-2023 04:00,1,1,04:00,2.4,2.4,100,28,23,11.3,99.33,,,Cloudy,6.657
01-01-2023 05:00,1,1,05:00,2.1,2.1,100,28,24,11.3,99.39,,,NA,6.598
01-01-2023 06:00,1,1,06:00,2,2,100,28,18,11.3,99.49,,,NA,6.606
01-01-2023 07:00,1,1,07:00,2,1.9,99,28,20,11.3,99.6,,,Cloudy,6.527
01-01-2023 08:00,1,1,08:00,1.9,1.7,99,28,21,8.1,99.7,,,Fog,6.552
01-01-2023 09:00,1,1,09:00,1.6,1.2,98,26,18,16.1,99.78,,,Rain,6.586
01-01-2023 10:00,1,1,10:00,1.8,1.4,97,29,17,12.9,99.84,,,Cloudy,6.662
01-01-2023 11:00,1,1,11:00,2,1.4,96,30,15,24.1,99.85,,,NA,6.392
01-01-2023 12:00,1,1,12:00,2.4,1.2,92,29,20,24.1,99.82,,,NA,6.574
01-01-2023 13:00,1,1,13:00,2.5,0.8,89,26,17,24.1,99.83,,,Cloudy,6.5
01-01-2023 14:00,1,1,14:00,2.3,0.7,89,26,14,24.1,99.85,,,NA,6.448
01-01-2023 15:00,1,1,15:00,1.7,0,89,29,12,24.1,99.87,,,NA,6.586
01-01-2023 16:00,1,1,16:00,1.9,-0.8,82,28,12,24.1,99.95,,,Cloudy,6.707
01-01-2023 17:00,1,1,17:00,1.2,-0.7,87,27,8,24.1,100.01,,,NA,6.669
01-01-2023 18:00,1,1,18:00,1.1,-0.8,87,29,8,24.1,100.01,,,NA,6.469
01-01-2023 19:00,1,1,19:00,0.7,-0.8,90,22,5,24.1,100.08,,,Cloudy,6.647
01-01-2023 20:00,1,1,20:00,0.5,-0.6,92,22,7,24.1,100.13,,,NA,6.736
01-01-2023 21:00,1,1,21:00,0.6,-0.5,92,21,7,24.1,100.13,,,NA,6.315
01-01-2023 22:00,1,1,22:00,0.6,-0.3,93,21,5,24.1,100.12,,,Cloudy,6.585
01-01-2023 23:00,1,1,23:00,0.3,-0.4,95,17,6,24.1,100.1,,,NA,6.325
02-01-2023 00:00,1,2,00:00,0.2,-0.4,96,19,8,24.1,100.08,,,NA,6.542
02-01-2023 01:00,1,2,01:00,0.3,-0.6,94,20,7,24.1,100.1,,,Cloudy,6.585
